short_name,long_name,age,potential,
Oscar,Oscar dos Santos Emboaba Júnior,22,87,
S. Nasri,Samir Nasri,27,86,
M. Benatia,Medhi Amine El Mouttaqi Benatia,27,86,
S. Khedira,Sami Khedira,27,86,
G. Higuaín,Gonzalo Gerardo Higuaín,26,85,
S. Sirigu,Salvatore Sirigu,27,85,
Casillas,Iker Casillas Fernández,33,84,
A. Pirlo,Andrea Pirlo,35,84,
Xabi Alonso,Xabier Alonso Olano,32,84,
D. De Rossi,Daniele De Rossi,30,84,
G. Chiellini,Giorgio Chiellini,29,84,
W. Sneijder,Wesley Sneijder,30,84,
Santi Cazorla,Santiago Cazorla González,29,84,
K. Huntelaar,Klaas-Jan Huntelaar,30,84,
Cesc Fàbregas,Francesc Fàbregas i Soler,27,84,
D. Godín,Diego Godín,28,84,
P. Pogba,Paul Pogba,21,89,
Isco,Francisco Román Alarcón Suárez,22,88,
I. Gündoğan,İlkay Gündoğan,23,87,
De Gea,David De Gea Quintana,23,87,
J. Cuadrado,Juan Cuadrado,26,87,
D. Sturridge,Daniel Andre Sturridge,24,86,
M. Pjanić,Miralem Pjanić,24,86,
A. Ramsey,Aaron Ramsey,23,86,
Pedro,Pedro Eliezer Rodríguez Ledesma,26,86,
E. Garay,Ezequiel Marcelo Garay,27,85,
B. Matuidi,Blaise Matuidi,27,85,
S. Ruffier,Stéphane Ruffier,27,84,
I. Rakitić,Ivan Rakitić,26,84,
A. Candreva,Antonio Candreva,27,84,
R. Weidenfeller,Roman Weidenfeller,33,83,
J. Terry,John Terry,33,83,
P. Mertesacker,Per Mertesacker,29,83,
J. Toulalan,Jérémy Toulalan,30,83,
Pepe,Képler Laveran Lima Ferreira,31,83,
A. Barzagli,Andrea Barzagli,33,83,
N. Vidić,Nemanja Vidić,32,83,
J. Mascherano,Javier Alejandro Mascherano,30,83,
Negredo,Álvaro Negredo Sánchez,28,83,
Dani Alves,Daniel Alves da Silva,31,83,
Jesús Navas,Jesús Navas González,28,83,
Diego López,Diego López Rodríguez,32,83,
I. Akinfeev,Igor Akinfeev,28,83,
J. Farfán,Jefferson Agustín Farfán Guadalupe,29,83,
João Moutinho,João Filipe Iria Santos Moutinho,27,83,
S. Handanovič,Samir Handanovič,29,83,
Miranda,João Miranda de Souza Filho,29,83,
C. Marchisio,Claudio Marchisio,28,83,
C. Bravo,Claudio Andrés Bravo Muñoz,31,83,
E. Džeko,Edin Džeko,28,83,
M. Mandžukić,Mario Mandžukić,28,83,
S. Kagawa,香川 真司,25,83,
Hulk,Givanildo Vieira de Souza,27,83,
C. Eriksen,Christian  Dannemann Eriksen,22,88,
M. ter Stegen,Marc-André ter Stegen,22,88,
A. Griezmann,Antoine Griezmann,23,88,
C. Vela,Carlos Alberto Vela Garrido,25,87,
D. Alaba,David Olatukunbo Alaba,22,87,
Lucas,Lucas Rodrigues M. Silva,21,87,
M. Hamšik,Marek Hamšík,26,86,
M. Balotelli,Mario  Barwuah Balotelli,23,86,
D. Mertens,Dries Mertens,27,85,
Marcelo,Marcelo Vieira da Silva Júnior,26,85,
N. Matić,Nemanja Matić,25,85,
B. Leno,Bernd Leno,22,85,
Koke,Jorge Resurrección Merodio,22,85,
J. Martínez,Jackson Martínez,27,85,
G. Rossi,Giuseppe Rossi,27,84,
A. Begović,Asmir Begović,27,84,
J. Vertonghen,Jan Vertonghen,27,84,
Sokratis,Sokratis Papastathopoulos,26,84,
B. Höwedes,Benedikt Höwedes,26,84,
Willian,Willian Borges da Silva,25,84,
N. Subotić,Neven Subotić,25,84,
N. Gaitán,Osvaldo Nicolás Fabián Gaitán,26,84,
S. Doumbia,Seydou Doumbia,26,84,
J. Hart,Joe Hart,27,83,
S. Mignolet,Simon Mignolet,26,83,
David Luiz,David Luiz Moreira Marinho,27,83,
Luiz Gustavo,Luiz Gustavo Dias,26,83,
G. Buffon,Gianluigi Buffon,36,82,
S. Gerrard,Steven  Gerrard,34,82,
T. Howard,Tim Howard,35,82,
Danny,Daniel Miguel Alves Gomes,30,82,
Júlio César,Júlio César Soares de Espíndola,34,82,
T. Motta,Thiago Motta,31,82,
R. Adler,René Adler,29,82,
Alex,Alex Rodrigo Dias da Costa,32,82,
Diego,Diego Ribas da Cunha,29,82,
P. Zabaleta,Pablo Javier Zabaleta Girod,29,82,
Gabi,Gabriel Fernández Arenas,30,82,
M. Gomez,Mario Gómez García,28,82,
R. Palacio,Rodrigo Sebastián Palacio,32,82,
Dante,Dante Bonfim da Costa Santos,30,82,
E. Lavezzi,Ezequiel Iván Lavezzi,29,82,
Borja Valero,Borja Valero Iglesias,29,82,
L. Baines,Leighton Baines,29,82,
S. Mandanda,Steve Mandanda,29,82,
Filipe Luís,Filipe Luís Kasmirski,28,82,
J. Błaszczykowski,Jakub Błaszczykowski,28,82,
L. Piszczek,Łukasz Piszczek,29,82,
Hernanes,Anderson Hernanes de Carvalho Andrade,29,82,
F. Muslera,Fernando Muslera,28,82,
F. Amorebielsa,Francisco Amorebielsa,28,82,
S. Feghouli,Sofiane Feghouli,24,88,
R. Varane,Raphaël Varane,21,88,
A. Laporte,Aymeric  Laporte,20,88,
Coutinho,Philippe Coutinho Correia,22,86,
Thiago,Thiago Alcântara do Nascimento,23,86,
K. De Bruyne,Kevin De Bruyne,23,86,
T. Walcott,Theo  Walcott,25,85,
Jordi Alba,Jordi Alba Ramos,25,85,
J. Wilshere,Jack Wilshere,22,85,
K. Strootman,Kevin Strootman,24,85,
H. Mkhitaryan,Henrikh Mkhitaryan,25,85,
Roberto Firmino,Roberto Firmino Barbosa de Oliveira,22,85,
G. dos Santos,Giovani dos Santos Ramírez,25,84,
N. Şahin,Nuri Şahin,25,84,
Leandro Castán,Leandro Castán da Silva,27,84,
L. Bender,Lars Bender,25,84,
S. Jovetić,Stevan Jovetić,24,84,
Iturraspe,Ander Iturraspe Derteano,25,84,
W. Bony,Wilfried Guemiand Bony,25,84,
A. Schürrle,André Schürrle,23,84,
Gervinho,Gervais Lombe Yao Kouassi,27,83,
S. Bender,Sven Bender,25,83,
J. Hernández,Javier Hernández Balcázar,26,83,
M. Sakho,Mamadou Sakho,24,83,
Nani,Luís Carlos Almeida da Cunha,27,82,
Ramires,Ramires Santos do Nascimento,27,82,
S. Eto'o,Samuel Eto'o Fils,33,81,
M. Klose,Miroslav Klose,36,81,
José Reina,José Manuel  Reina Páez,31,81,
D. Berbatov,Dimitar Ivanov Berbatov,33,81,
D. Drogba,Didier Yves Drogba Tébily,36,81,
A. Cole,Ashley Cole,33,81,
R. van der Vaart,Rafael van der Vaart,31,81,
Fernando Torres,Fernando José Torres Sanz,30,81,
N. de Jong,Nigel de Jong,29,81,
C. Carrasso,Cédric Carrasso,32,81,
Felipe Melo,Felipe Melo de Carvalho,31,81,
Fernandinho,Fernando Luiz Rosa,29,81,
S. Kießling,Stefan Kießling,30,81,
T. Zengin,Tolga Zengin,30,81,
Soldado,Roberto Soldado Rillo,29,81,
Luisão,Ânderson Luís da Silva,33,81,
D. Agger,Daniel Munthe Agger,29,81,
C. Dempsey,Clint Dempsey,31,81,
R. Montolivo,Riccardo Montolivo,29,81,
Llorente,Fernando Javier Llorente Torres,29,81,
M. Boussoufa,Mbark Boussoufa,29,81,
G. Cahill,Gary Cahill,28,81,
L. Koscielny,Laurent Koscielny,28,81,
Diego Alves,Diego Alves Carreira,29,81,
M. Škrtel,Martin Škrtel,29,81,
Y. Cabaye,Yohan Cabaye,28,81,
M. Valbuena,Mathieu Valbuena,29,81,
B. Ivanović,Branislav Ivanović,30,81,
Beto,António Alberto Bastos Pimparel,32,81,
C. Bacca,Carlos Arturo Bacca Ahumada,27,81,
S. El Shaarawy,Stephan El Shaarawy,21,87,
Parejo,Daniel Parejo Muñoz,25,86,
E. Mangala,Eliaquim Mangala,23,86,
R. Lukaku,Romelu Lukaku,21,86,
Rodrigo,Rodrigo Moreno Machado,23,86,
M. Verratti,Marco Verratti,21,86,
R. Sterling,Raheem Sterling,19,86,
Iñigo Martínez,Íñigo Martínez Berridi,23,86,
Bernard,Bernard  Anício Caldeira Duarte,21,86,
A. Witsel,Axel  Witsel,25,85,
E. Banega,Éver Maximiliano David Banega,26,85,
C. Benteke,Christian Benteke Liolo,23,85,
Paulinho,José Paulo Bezzera Maciel Júnior,25,85,
Susaeta,Markel Susaeta Laskurain,26,85,
Muniaín,Iker Muniaín Goñi,21,85,
C. Immobile,Ciro Immobile,24,85,
X. Shaqiri,Xherdan Shaqiri,22,85,
J. Draxler,Julian Draxler,20,85,
M. Schneiderlin,Morgan Schneiderlin,24,84,
Rui Patrício,Rui Pedro dos Santos Patrício,26,84,
K. Trapp,Kevin Trapp,23,84,
Douglas Costa,Douglas Costa de Souza,23,84,
N. Otamendi,Nicolás Hernán Otamendi,26,84,
H. Badstuber,Holger Badstuber,25,84,
M. Gonalons,Maxime Gonalons,25,84,
R. Rodriguez,Ricardo Rodriguez,21,84,
C. Emenike,Chinenye Emenike,27,84,
Kiko Casilla,Francisco Casilla Cortés,27,83,
S. Sam,Sidney Sam,26,83,
José Callejón,José María Callejón Bueno,27,83,
W. Szczęsny,Wojciech  Szczęsny,24,83,
A. Dzyuba,Artem Dzyuba,25,83,
S. Rondón,José Salomón Rondón Giménez,24,83,
M. Dembélé,Moussa Sidi Yaya Dembélé,26,82,
G. Castro,Gonzalo Castro Randon,27,82,
K. Boateng,Kevin-Prince Boateng,27,82,
Beñat,Beñat Etxebarria Urkiaga,27,82,
A. Cerci,Alessio Cerci,26,82,
L. Rémy,Loïc Rémy,27,82,
D. Lovren,Dejan Lovren,24,82,
D. Tadić,Dušan Tadić,25,82,
K. Mirallas,Kevin Mirallas,26,81,
S. Kjær,Simon Thorup Kjær,25,81,
O. Kivrak,Onur Recep Kıvrak,26,81,
F. Totti,Francesco Totti,37,80,
Tiago,Tiago Cardoso Mendes,33,80,
G. Barry,Gareth Barry,33,80,
A. Cassano,Antonio Cassano,31,80,
T. Rosický,Tomáš  Rosický,33,80,
Quaresma,Ricardo Andrade Quaresma Bernardo,30,80,
Ronaldinho,Ronaldo de Assis Moreira,34,80,
Mikel Arteta,Mikel Arteta Amatriain,32,80,
J. Defoe,Jermain  Defoe,31,80,
P. Evra,Patrice Evra,33,80,
E. Adebayor,Emmanuel Adebayor,30,80,
Iraola,Andoni Iraola Sagarna,32,80,
Aduriz,Aritz Aduriz Zubeldia,33,80,
J. Mathieu,Jérémy Mathieu,30,80,
David Villa,David Villa Sánchez,32,80,
D. Benaglio,Diego Orlando Benaglio,30,80,
Bruno Alves,Bruno Eduardo Regufe Alves,32,80,
V. Enyeama,Vincent Enyeama,31,80,
G. Ochoa,Francisco Guillermo Ochoa Magaña,28,80,
Raffael,Raffael Caetano de Araújo,29,80,
I. Denisov,Igor Denisov,30,80,
R. Mavuba,Rio Antonio Zoba Mavuba,30,80,
G. Clichy,Gaël Clichy,28,80,
Raúl Albiol,Raúl Albiol Tortajada,28,80,
A. Song,Alexandre Dimitri Song-Billong,26,80,
M. Debuchy,Mathieu Debuchy,28,80,
L. Perrin,Loïc Perrin,28,80,
B. Sagna,Bacary Sagna,31,80,
A. Valencia,Luis Antonio Valencia Mosquera,28,80,
Naldo,Ronaldo  Aparecido Rodrigues,31,80,
D. Ba,Demba Ba,29,80,
Miguel Veloso,Miguel Luís Pinto Veloso,28,80,
F. Fazio,Federico Julián Fazio,27,80,
A. Chedjou,Aurélien Chedjou,29,80,
A. Costa,Alberto Facundo Costa,29,80,
M. Baša,Marko Baša,31,80,
E. Pérez,Enzo Pérez,28,80,
O. Cardosa,Omar Luis Cardosa,30,80,
M. Musacchio,Mateo Pablo Musacchio,23,85,
N. Nkoulou,Nicolas N'Koulou,24,85,
J. Pastore,Javier Matías Pastore,25,85,
R. Cabella,Rémy Cabella,24,85,
L. Insigne,Lorenzo Insigne,23,85,
Paco Alcácer,Francisco Alcácer García,20,85,
S. Kaya,Semih Kaya,23,84,
T. Krul,Tim Krul,26,84,
Y. Sommer,Yann Sommer,25,84,
R. Zieler,Ron-Robert Zieler,25,84,
A. Dzagoev,Alan Dzagoev,24,84,
G. Bonaventura,Giacomo Bonaventura,24,84,
Guaita,Vicente Guaita Panadero,27,84,
Illarramendi,Asier Illarramendi Andonegi,24,84,
E. Salvio,Eduardo Antonio Salvio,23,84,
Alex Sandro,Alex Sandro Lobo Silva,23,84,
Ander Herrera,Ander Herrera Agüera,24,84,
A. Lacazette,Alexandre Lacazette,23,84,
P. Jones,Phil Jones,22,84,
K. Volland,Kevin Volland,21,84,
Mario Suárez,Mario Suárez Mata,27,83,
K. Gameiro,Kévin Gameiro,27,83,
A. Taarabt,Adel Taarabt,25,83,
S. Coleman,Séamus Coleman,25,83,
A. Lallana,Adam David Lallana,26,83,
V. Stocker,Valentin Stocker,25,83,
Fernando,Fernando Francisco Reges,26,83,
J. Biabiany,Jonathan Ludovic Biabiany,26,83,
L. Bonucci,Leonardo Bonucci,27,83,
K. Asamoah,Kwadwo Asamoah,25,83,
J. McCarthy,James McCarthy,23,83,
D. Blind,Daley Blind,24,83,
Víctor Ruíz,Víctor Ruíz Torre,25,83,
G. Krychowiak,Grzegorz Krychowiak,24,83,
A. Abdennour,Aymen Abdennour,24,83,
Ibai Gómez,Ibai Gómez Pérez,24,83,
Deulofeu,Gerard Deulofeu Lázaro,20,83,
Carvajal,Daniel Carvajal Ramos,22,83,
R. Elm,Rasmus Elm,26,82,
J. Evans,Jonny Evans,26,82,
Fábio Coentrão,Fábio Alexandre da Silva Coentrão,26,82,
Sergio Asenjo,Sergio  Asenjo Andrés,25,82,
Azpilicueta,César Azpilicueta Tanco,24,82,
O. Toprak,Ömer Toprak,24,82,
S. Ulreich,Sven Ulreich,25,82,
Alex Teixeira,Alex Teixeira dos Santos,24,82,
P. Aubameyang,Pierre-Emerick Aubameyang,25,82,
K. Navas,Keylor Navas,27,82,
J. Cillessen,Jasper Cillessen,25,82,
M. Rojo,Faustino Marcos Alberto Rojo,24,82,
R. Eremenko,Roman Eremenko,27,81,
R. Nainggolan,Radja Nainggolan,26,81,
B. Dzsudzsák,Balázs Dzsudzsák,27,81,
K. Glik,Kamil Glik,26,81,
Sandro,Sandro Ranieri Guimarães Cordeiro,25,81,
Javi García,Francisco Javier  García Fernández,27,80,
M. Fellaini,Marouane Fellaini-Bakkioui,26,80,
M. Cáceres,Martín Cáceres,27,80,
Iborra,Vicente Iborra de la Fuente,26,80,
R. Keane,Robbie Keane,33,79,
M. De Sanctis,Morgan De Sanctis,37,79,
F. Lampard,Frank  Lampard,36,79,
R. Ferdinand,Rio  Ferdinand,35,79,
L. Donovan,Landon Donovan,32,79,
M. Carrick,Michael Carrick,32,79,
C. Pizarro,Claudio Miguel Pizarro Bossio,35,79,
F. Coloccini,Fabricio Coloccini,32,79,
S. Pienaar,Steven Pienaar,32,79,
P. Jagielka,Phil Jagielka,31,79,
A. Aquilani,Alberto Aquilani,29,79,
M. Dawson,Michael  Dawson,30,79,
M. Demichelis,Martín Gastón Demichelis,33,79,
Maicon,Maicon Douglas Sisenando,32,79,
M. Vorm,Michel Vorm,30,79,
J. Lescott,Joleon Lescott,31,79,
W. Caballero,Wilfredo Daniel Caballero,32,79,
Helton,Helton da Silva Arruda,36,79,
F. Marchetti,Federico Marchetti,31,79,
D. Srna,Darijo Srna,32,79,
G. Rodríguez,Gonzalo Javier Rodríguez,30,79,
V. Demirel,Volkan Demirel,32,79,
Xabi Prieto,Xabier Prieto Argarate,30,79,
Arbeloa,Álvaro Arbeloa Coca,31,79,
Juanfran,Juan Francisco Torres Belén,29,79,
I. Olić,Ivica Olić,34,79,
Raúl Meireles,Raúl José Trindade Meireles,31,79,
A. Lennon,Aaron  Lennon,27,79,
T. Vermaelen,Thomas Vermaelen,28,79,
Manuel Fernandes,Manuel Henrique Tavares Fernandes,28,79,
G. Inler,Gökhan İnler,30,79,
V. Behrami,Valon Behrami,29,79,
V. Ibišević,Vedad Ibišević,29,79,
Y. Kaboul,Younès Kaboul,28,79,
L. Diarra,Lassana Diarra,29,79,
A. Williams,Ashley Williams,29,79,
R. Shirokov,Roman Shirokov,32,79,
R. Vlaar,Ron Vlaar,29,79,
F. Guarín,Fredy Alejandro Guarín Vásquez,28,79,
C. Rodríguez,Cristian Gabriel Rodríguez Barrotti,28,79,
Raúl García,Raúl García Escudero,27,79,
Mikel Gonzalez,Mikel González de Martín Martínez,28,79,
Lucas Leiva,Lucas  Pezzini Leiva,27,79,
A. Ramos,Gustavo Adrián Ramos Vásquez,28,79,
Jonas,Jonas Gonçalves Oliveira,30,79,
O. Giroud,Olivier Giroud,27,79,
O. Cardozo,Oscar René Cardozo Marín,31,79,
D. N'Doye,Dame N'Doye,29,79,
V. Ćorluka,Vedran Ćorluka,28,79,
Bruno,Bruno  Soriano Llido,30,79,
K. Honda,本田 圭佑,28,79,
João Pereira,João Pedro da Silva Pereira,30,79,
M. Depay,Memphis Depay,20,88,
L. Marković,Lazar  Marković,20,87,
A. Oxlade-Chamberlain,Alex Oxlade-Chamberlain,20,86,
R. Barkley,Ross Barkley,20,86,
Marquinhos,Marcos  Aoás Corrêa,20,86,
J. Quintero,Juan Fernando Quintero,21,86,
William Carvalho,William Silva de Carvalho,22,85,
E. Lamela,Erik Lamela,22,84,
K. Papadopoulos,Kyriakos Papadopoulos,22,84,
L. Traoré,Lacina Traoré,24,84,
Juan Jesus,Juan Guilherme Nunes Jesus,23,84,
Alberto Moreno,Alberto Moreno Pérez,21,84,
H. Moreno,Héctor Alfredo Moreno Herrera,26,83,
E. Capoue,Etienne Capoue,25,83,
G. Wijnaldum,Georginio Wijnaldum,23,83,
J. Henderson,Jordan Brian Henderson,24,83,
P. Piatti,Pablo Daniel Piatti,25,83,
Adrien Silva,Adrien Sebastian Perruchet Silva,25,83,
Mikel San José,Mikel San José Domínguez,25,83,
A. Poli,Andrea Poli,24,83,
D. Welbeck,Daniel Nii Tackie Mensah Welbeck,23,83,
G. Töre,Gökhan Töre,22,83,
Cristian Tello,Cristian Tello Herrera,22,83,
M. Etxeberría,Marco Aurelio Etxeberría,27,83,
Y. Lodygin,Yuriy Lodygin,24,83,
M. Bradley,Michael Bradley,26,82,
J. Ménez,Jérémy Ménez,27,82,
A. Consigli,Andrea Consigli,27,82,
Y. Movsisyan,Yura Movsisyan,26,82,
A. Ayew,André Ayew Pelé,24,82,
P. Ebert,Patrick Ebert,27,82,
I. Perišić,Ivan Perišić,25,82,
T. Alderweireld,Toby Alderweireld,25,82,
K. Gibbs,Kieran  Gibbs,24,82,
Taison,Taison Barcellos Freda,26,82,
De Marcos,Óscar de Marcos Arana,25,82,
A. Kokorin,Aleksandr Kokorin,23,82,
S. de Vrij,Stefan de Vrij,22,82,
P. Lasogga,Pierre-Michel Lasogga,22,82,
Rafinha,Rafael Alcântara do Nascimento,21,82,
S. Savić,Stefan Savić,23,82,
P. Franco,Pedro Camilo Franco Ulloa,23,82,
D. Astori,Davide Astori,27,81,
D. Criscito,Domenico Criscito,27,81,
Adrián,Adrián López Álvarez,26,81,
D. Payet,Dimitri  Payet,27,81,
K. Mitroglou,Konstantinos Mitroglou,26,81,
M. Kruse,Max Kruse,26,81,
Y. M'Vila,Yann Gérard M'Vila,24,81,
Camacho,Ignacio Camacho Barnola,24,81,
R. Hamouma,Romain Hamouma,27,81,
O. Baumann,Oliver Baumann,24,81,
Joãozinho,João Natailton Ramos dos Santos,25,81,
J. Mikel,John Michael Nchekwube Obinna,27,80,
Coke,Jorge Andújar Moreno,27,80,
J. Lens,Jeremain Lens,26,80,
L. Stindl,Lars Stindl,25,80,
M. Diouf,Mame Biram Diouf,26,80,
M. Schmelzer,Marcel Schmelzer,26,80,
S. Reinartz,Stefan Reinartz,25,80,
Y. Rakitskyi,Yaroslav Rakitskyi,24,80,
Arribas,Alejandro Arribas Garrido,25,80,
Z. Tošić,Zoran Tošić,27,79,
B. Costil,Benoît Costil,26,79,
R. Shawcross,Ryan Shawcross,26,79,
M. Stranzl,Martin Stranzl,34,78,
T. Henry,Thierry  Henry,36,78,
S. Kehl,Sebastian Kehl,34,78,
B. Friedel,Brad Friedel,43,78,
Ricardo Costa,Ricardo Miguel Moreira da Costa,33,78,
K. Källström,Kim Källström,31,78,
Joaquín,Joaquín Sánchez Rodríguez,32,78,
D. Forlán,Diego Forlán Corazo,35,78,
Moyá,Miguel Ángel Moyá Rumbo,30,78,
Iraizoz,Gorka Iraizoz Moreno,33,78,
Rubén Castro,Rubén Castro Martín,33,78,
K. Touré,Kolo Habib Touré,33,78,
A. Di Natale,Antonio Di Natale,36,78,
S. Rolfes,Simon Rolfes,32,78,
B. Yılmaz,Burak Yılmaz,28,78,
M. Topal,Mehmet Topal,28,78,
A. Hutchinson,Atiba Hutchinson,31,78,
Lee Dong Gook,이동국 李东国,35,78,
G. Pandev,Goran Pandev,30,78,
E. Cambiasso,Esteban Matías Cambiasso Delau,33,78,
J. Milner,James Philip Milner,28,78,
A. Mirante,Antonio Mirante,30,78,
E. Spahić,Emir Spahić,33,78,
D. Milito,Diego Alberto Milito,35,78,
O. Adın,Olcan Adın,28,78,
E. Korkmaz,Egemen Korkmaz,31,78,
I. Uche,Ikechukwu Uche,30,78,
Mikel Rico,Mikel Rico Moreno,29,78,
Javi Fuego,Javier Fuego Martínez,30,78,
A. Samedov,Aleksandr Samedov,29,78,
V. Berezutskiy,Vasiliy Berezutskiy,32,78,
A. Young,Ashley Young,28,78,
A. Gignac,André-Pierre Gignac,28,78,
Y. Zhirkov,Yuriy Zhirkov,30,78,
A. McGeady,Aiden McGeady,28,78,
A. Hunt,Aaron Hunt,27,78,
S. Kalou,Salomon Armand Magloire Kalou,28,78,
C. Gentner,Christian Gentner,28,78,
B. Gomis,Bafétimbi Gomis,28,78,
Jesús Gámez,Jesús Gámez Duarte,29,78,
H. Ben Arfa,Hatem Ben Arfa,27,78,
Rolando,Rolando Jorge Pires da Fonseca,28,78,
B. Foster,Ben Foster,31,78,
B. Guzan,Bradley Guzan,29,78,
Michu,Miguel Pérez Cuesta,28,78,
N. Pareja,Nicolás Martín Pareja,30,78,
G. Paletta,Gabriel Alejandro Paletta,28,78,
C. Tioté,Cheik Ismaël Tioté,28,78,
M. Sow,Moussa Sow,28,78,
Varela,Silvestre Manuel Gonçalves Varela,29,78,
G. Castro,Gonzalo Castro Irizábal,29,78,
M. Fernández,Matías Ariel Fernández Fernández,28,78,
O. Toivonen,Ola Toivonen,27,78,
M. Iturra,Manuel Rolando Iturra Urrutia,30,78,
B. Ruíz,Bryan Ruiz González,28,78,
Vieirinha,Adelino André Vieira de Freitas,28,78,
Lima,Rodrigo José Lima dos Santos,30,78,
A. Rami,Adil Rami,28,78,
Roberto,Roberto Jiménez Gago,28,78,
Thiago Neves,Thiago Neves Augusto,29,78,
A. Kolarov,Aleksandar Kolarov,28,78,
S. Lulić,Senad Lulić,28,78,
J. Iturbe,Juan Manuel Iturbe Arévalo,21,88,
C. Grenier,Clément Grenier,23,85,
S. Mustafi,Shkodran Mustafi,22,85,
Morata,Alvaro Borja Morata Martín,21,85,
M. Ginter,Matthias Ginter,20,85,
Sergio Canales,Sergio Canales Madrazo,23,84,
S. Aurier,Serge Aurier,21,84,
Danilo,Danilo Luiz da Silva,22,84,
F. Thauvin,Florian Thauvin,21,84,
H. Çalhanoğlu,Hakan Çalhanoğlu,20,84,
Rafa,Rafael Alexandre Fernandes Ferreira da Silva,21,84,
J. Zoet,Jeroen Zoet,23,83,
R. Pereyra,Roberto Pereyra,23,83,
M. Destro,Mattia Destro,23,83,
Montoya,Martín Montoya Torralbo,23,83,
A. Carrillo,André Martín Carrillo Díaz,23,83,
C. Kramer,Christoph Kramer,23,83,
D. Ospina,David Ospina Ramírez,25,82,
M. Marin,Marko Marin,26,82,
E. Insua,Emiliano Adrián Insúa Zapata,25,82,
J. Allen,Joe Allen,24,82,
Rafael,Rafael Pereira da Silva,23,82,
G. Sertic,Grégory Sertic,24,82,
K. Kampl,Kevin Kampl,23,82,
P. Djilobodji,Papiss Mison Djilobodji,25,82,
J. Drmić,Josip Drmić,21,82,
Nolito,Manuel Agudo Durán,27,82,
A. Özbiliz,Aras Özbiliz,24,82,
S. Rode,Sebastian Rode,23,82,
J. Oblak,Jan Oblak,21,82,
M. Nastasić,Matija Nastasić,21,82,
E. Vargas,Eduardo Vargas,24,82,
A. Maxim,Alexandru Iulian Maxim,23,82,
Bojan,Bojan Krkíc Pérez,23,81,
Granero,Esteban Félix Granero Molina,26,81,
R. Fährmann,Ralf Fährmann,25,81,
A. Ranocchia,Andrea Ranocchia,26,81,
A. Ogbonna,Angelo Obinze Ogbonna,26,81,
Y. Brahimi,Yacine Brahimi,24,81,
L. Holtby,Lewis Harry Holtby,23,81,
K. Walker,Kyle Walker,24,81,
S. Jung,Sebastian Jung,24,81,
O. Özyakup,Oğuzhan Özyakup,21,81,
J. Matip,Joël Andre Job Matip,22,81,
W. Ben Yedder,Wissam Ben Yedder,23,81,
V. Darida,Vladimír Darida,23,81,
G. Ramirez,Gastón Exequiel Ramírez Pereyra,23,81,
S. Romerón,Simón Romerón,25,81,
P. Schwegler,Pirmin Schwegler,27,80,
Agirretxe,Imanol Agirretxe Arruti,27,80,
S. Radu,Ştefan Daniel Radu,27,80,
I. Khune,Itumeleng Khune,27,80,
C. Ansaldi,Cristian Daniel Ansaldi,27,80,
S. Tasci,Serdar Taşçı,27,80,
A. Carroll,Andy Carroll,25,80,
N. Müller,Nicolai Müller,26,80,
